,target_id,length,eff_length,est_counts,tpm,strain_name_x,gene_name,taxonomy
247,Aazo_0334-NC_014248,465,415.0,0.0,0.0,'Nostoc azollae' 0708,amidase; K01426 amidase [EC:3.5.1.4],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
248,Aazo_0335-NC_014248,175,125.0,0.0,0.0,'Nostoc azollae' 0708,putative Crp/Fnr family transcriptional regulator,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
249,Aazo_0336-NC_014248,30,1.0,0.0,0.0,'Nostoc azollae' 0708,cyclic nucleotide-binding domain-containing protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
250,Aazo_0337-NC_014248,97,47.0,0.0,0.0,'Nostoc azollae' 0708,nitrogen regulatory protein P-II,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
251,Aazo_0340-NC_014248,163,113.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
252,Aazo_0343-NC_014248,331,281.0,0.0,0.0,'Nostoc azollae' 0708,ketol-acid reductoisomerase (EC:1.1.1.86); K00053 ketol-acid reductoisomerase [EC:1.1.1.86],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
253,Aazo_0348-NC_014248,73,23.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
254,Aazo_0349-NC_014248,67,17.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
255,Aazo_0350-NC_014248,36,1.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
256,Aazo_0352-NC_014248,437,387.0,0.0,0.0,'Nostoc azollae' 0708,FAD linked oxidase domain-containing protein; K11472 glycolate oxidase FAD binding subunit,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
257,Aazo_0353-NC_014248,449,399.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein; K11473 glycolate oxidase iron-sulfur subunit,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
258,Aazo_0354-NC_014248,405,355.0,0.0,0.0,'Nostoc azollae' 0708,acetate kinase; K00925 acetate kinase [EC:2.7.2.1],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
259,Aazo_0355-NC_014248,261,211.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
260,Aazo_0356-NC_014248,283,233.0,0.0,0.0,'Nostoc azollae' 0708,aminotransferase class IV; K02619 4-amino-4-deoxychorismate lyase [EC:4.1.3.38],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
261,Aazo_0357-NC_014248,613,563.0,0.0,0.0,'Nostoc azollae' 0708,ATP-dependent metalloprotease FtsH (EC:3.6.4.3); K03798 cell division protease FtsH [EC:3.4.24.-],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
262,Aazo_0360-NC_014248,107,57.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
263,Aazo_0361-NC_014248,48,1.02996,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
264,Aazo_0362-NC_014248,163,113.0,0.0,0.0,'Nostoc azollae' 0708,pentapeptide repeat-containing protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
265,Aazo_0363-NC_014248,379,329.0,0.0,0.0,'Nostoc azollae' 0708,phosphoribosylaminoimidazole carboxylase ATPase subunit (EC:4.1.1.21); K01589 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
266,Aazo_0364-NC_014248,413,363.0,0.0,0.0,'Nostoc azollae' 0708,processing peptidase (EC:3.4.24.64),Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
267,Aazo_0365-NC_014248,424,374.0,0.0,0.0,'Nostoc azollae' 0708,processing peptidase (EC:3.4.24.64),Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
268,Aazo_0366-NC_014248,274,224.0,0.0,0.0,'Nostoc azollae' 0708,phosphomethylpyrimidine kinase; K00941 hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
269,Aazo_0367-NC_014248,270,220.0,0.0,0.0,'Nostoc azollae' 0708,molybdenum ABC transporter periplasmic molybdate-binding protein; K02020 molybdate transport system substrate-binding protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
270,Aazo_0368-NC_014248,563,513.0,0.0,0.0,'Nostoc azollae' 0708,dihydroxy-acid dehydratase (EC:4.2.1.9); K01687 dihydroxy-acid dehydratase [EC:4.2.1.9],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
271,Aazo_0369-NC_014248,256,206.0,0.0,0.0,'Nostoc azollae' 0708,pentapeptide repeat-containing protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
272,Aazo_0371-NC_014248,40,1.00001,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
273,Aazo_0377-NC_014248,852,802.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
274,Aazo_0379-NC_014248,363,313.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
275,Aazo_0380-NC_014248,62,12.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
276,Aazo_0382-NC_014248,241,191.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
277,Aazo_0384-NC_014248,277,227.0,0.0,0.0,'Nostoc azollae' 0708,D12 class N6 adenine-specific DNA methyltransferase; K06223 DNA adenine methylase [EC:2.1.1.72],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
278,Aazo_0385-NC_014248,76,26.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
279,Aazo_0386-NC_014248,264,214.0,0.0,0.0,'Nostoc azollae' 0708,"Sec-independent protein translocase, TatC subunit; K03118 sec-independent protein translocase protein TatC",Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
280,Aazo_0388-NC_014248,322,272.0,0.0,0.0,'Nostoc azollae' 0708,type 11 methyltransferase,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
281,Aazo_0389-NC_014248,224,174.0,0.0,0.0,'Nostoc azollae' 0708,winged helix family two component transcriptional regulator,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
282,Aazo_0394-NC_014248,151,101.0,0.0,0.0,'Nostoc azollae' 0708,electron transfer DM13,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
283,Aazo_0395-NC_014248,257,207.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
284,Aazo_0396-NC_014248,35,1.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
285,Aazo_0397-NC_014248,43,1.0002,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
286,Aazo_0398-NC_014248,306,256.0,0.0,0.0,'Nostoc azollae' 0708,ATP-NAD/AcoX kinase; K00858 NAD+ kinase [EC:2.7.1.23],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
287,Aazo_0399-NC_014248,101,51.0,0.0,0.0,'Nostoc azollae' 0708,NADH-ubiquinone oxidoreductase subunit 4L; K05576 NAD(P)H-quinone oxidoreductase subunit 4L [EC:1.6.5.3],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
288,Aazo_0400-NC_014248,205,155.0,0.0,0.0,'Nostoc azollae' 0708,NADH-ubiquinone/plastoquinone oxidoreductase subunit 6; K05578 NAD(P)H-quinone oxidoreductase subunit 6 [EC:1.6.5.3],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
289,Aazo_0401-NC_014248,194,144.0,0.0,0.0,'Nostoc azollae' 0708,NADH-plastoquinone oxidoreductase subunit I; K05580 NAD(P)H-quinone oxidoreductase subunit I [EC:1.6.5.3],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
290,Aazo_0402-NC_014248,372,322.0,0.0,0.0,'Nostoc azollae' 0708,NADH dehydrogenase (EC:1.6.99.5); K05572 NAD(P)H-quinone oxidoreductase subunit 1 [EC:1.6.5.3],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
291,Aazo_0403-NC_014248,39,1.0,0.0,0.0,'Nostoc azollae' 0708,cytidylate kinase,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
292,Aazo_0404-NC_014248,378,328.0,0.0,0.0,'Nostoc azollae' 0708,2-methylcitrate synthase/citrate synthase II (EC:2.3.3.1); K01647 citrate synthase [EC:2.3.3.1],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
293,Aazo_0406-NC_014248,56,6.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
294,Aazo_0407-NC_014248,231,181.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
295,Aazo_0410-NC_014248,429,379.0,0.0,0.0,'Nostoc azollae' 0708,phosphoesterase RecJ domain-containing protein; K06881,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
296,Aazo_0411-NC_014248,165,115.0,0.0,0.0,'Nostoc azollae' 0708,HNH endonuclease,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
297,Aazo_0412-NC_014248,395,345.0,0.0,0.0,'Nostoc azollae' 0708,alanine racemase (EC:5.1.1.1); K01775 alanine racemase [EC:5.1.1.1],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
298,Aazo_0413-NC_014248,347,297.0,0.0,0.0,'Nostoc azollae' 0708,response regulator receiver protein; K02657 twitching motility two-component system response regulator PilG,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
299,Aazo_0414-NC_014248,171,121.0,0.0,0.0,'Nostoc azollae' 0708,CheW protein; K02659 twitching motility protein PilI,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
300,Aazo_0415-NC_014248,750,700.0,0.0,0.0,'Nostoc azollae' 0708,methyl-accepting chemotaxis sensory transducer; K02660 twitching motility protein PilJ,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
301,Aazo_0416-NC_014248,977,927.0,0.0,0.0,'Nostoc azollae' 0708,CheA signal transduction histidine kinase; K06596 chemosensory pili system protein ChpA (sensor histidine kinase/response regulator),Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
302,Aazo_0419-NC_014248,630,580.0,0.0,0.0,'Nostoc azollae' 0708,transketolase central region; K00615 transketolase [EC:2.2.1.1],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
303,Aazo_0420-NC_014248,405,355.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
304,Aazo_0421-NC_014248,420,370.0,0.0,0.0,'Nostoc azollae' 0708,CemA family protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
305,Aazo_0423-NC_014248,135,85.0,0.0,0.0,'Nostoc azollae' 0708,50S ribosomal protein L21; K02888 large subunit ribosomal protein L21,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
306,Aazo_0424-NC_014248,92,42.0,0.0,0.0,'Nostoc azollae' 0708,50S ribosomal protein L27; K02899 large subunit ribosomal protein L27,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
307,Aazo_0425-NC_014248,141,91.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
308,Aazo_0426-NC_014248,302,252.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein; K08977 putative membrane protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
309,Aazo_0427-NC_014248,388,338.0,0.0,0.0,'Nostoc azollae' 0708,family 2 glycosyl transferase; K00721 dolichol-phosphate mannosyltransferase [EC:2.4.1.83],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
310,Aazo_0428-NC_014248,302,252.0,0.0,0.0,'Nostoc azollae' 0708,ribonuclease H (EC:3.1.26.4); K03469 ribonuclease HI [EC:3.1.26.4],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
311,Aazo_0429-NC_014248,159,109.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
312,Aazo_0431-NC_014248,311,261.0,0.0,0.0,'Nostoc azollae' 0708,1-aminocyclopropane-1-carboxylate deaminase; K01505 1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
313,Aazo_0432-NC_014248,38,1.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
314,Aazo_0442-NC_014248,513,463.0,0.0,0.0,'Nostoc azollae' 0708,DEAD/DEAH box helicase domain-containing protein; K05592 ATP-dependent RNA helicase DeaD [EC:3.6.4.13],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
315,Aazo_0443-NC_014248,440,390.0,0.0,0.0,'Nostoc azollae' 0708,MiaB family RNA modification protein; K14441 ribosomal protein S12 methylthiotransferase [EC:2.-.-.-],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
316,Aazo_0444-NC_014248,64,14.0,0.0,0.0,'Nostoc azollae' 0708,telomerase reverse transcriptase-like protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
317,Aazo_0445-NC_014248,282,232.0,0.0,0.0,'Nostoc azollae' 0708,photosystem I assembly BtpA; K06971,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
318,Aazo_0446-NC_014248,327,277.0,0.0,0.0,'Nostoc azollae' 0708,vitamin K epoxide reductase,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
319,Aazo_0449-NC_014248,556,506.0,0.0,0.0,'Nostoc azollae' 0708,L-aspartate oxidase; K00278 L-aspartate oxidase [EC:1.4.3.16],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
320,Aazo_0450-NC_014248,149,99.0,0.0,0.0,'Nostoc azollae' 0708,photosystem II oxygen evolving complex protein PsbU; K02719 photosystem II PsbU protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
321,Aazo_0451-NC_014248,259,209.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
322,Aazo_0453-NC_014248,127,77.0,0.0,0.0,'Nostoc azollae' 0708,transposase,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
323,Aazo_0456-NC_014248,57,7.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
324,Aazo_0458-NC_014248,302,252.0,0.0,0.0,'Nostoc azollae' 0708,undecaprenol kinase; K06153 undecaprenyl-diphosphatase [EC:3.6.1.27],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
325,Aazo_0459-NC_014248,441,391.0,0.0,0.0,'Nostoc azollae' 0708,FeS-containing organism-specific oxidoreductase,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
326,Aazo_0460-NC_014248,69,19.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
327,Aazo_0462-NC_014248,1138,1088.0,0.0,0.0,'Nostoc azollae' 0708,multi-sensor signal transduction histidine kinase,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
328,Aazo_0463-NC_014248,403,353.0,0.0,0.0,'Nostoc azollae' 0708,response regulator receiver modulated diguanylate phosphodiesterase,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
329,Aazo_0464-NC_014248,128,78.0,0.0,0.0,'Nostoc azollae' 0708,mannose-6-phosphate isomerase type II; K01809 mannose-6-phosphate isomerase [EC:5.3.1.8],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
330,Aazo_0465-NC_014248,226,176.0,0.0,0.0,'Nostoc azollae' 0708,uracil-DNA glycosylase; K03648 uracil-DNA glycosylase [EC:3.2.2.-],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
331,Aazo_0466-NC_014248,254,204.0,0.0,0.0,'Nostoc azollae' 0708,HEAT domain-containing protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
332,Aazo_0467-NC_014248,187,137.0,0.0,0.0,'Nostoc azollae' 0708,GCN5-like N-acetyltransferase,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
333,Aazo_0468-NC_014248,47,1.01108,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
334,Aazo_0469-NC_014248,133,83.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
335,Aazo_0470-NC_014248,428,378.0,0.0,0.0,'Nostoc azollae' 0708,"major facilitator superfamily protein; K08218 MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG",Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
336,Aazo_0478-NC_014248,200,150.0,0.0,0.0,'Nostoc azollae' 0708,LexA family transcriptional repressor (EC:3.4.21.88); K01356 repressor LexA [EC:3.4.21.88],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
337,Aazo_0479-NC_014248,306,256.0,0.0,0.0,'Nostoc azollae' 0708,ornithine carbamoyltransferase (EC:2.1.3.3); K00611 ornithine carbamoyltransferase [EC:2.1.3.3],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
338,Aazo_0481-NC_014248,353,303.0,0.0,0.0,'Nostoc azollae' 0708,Rieske (2Fe-2S) iron-sulfur domain-containing protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
339,Aazo_0482-NC_014248,244,194.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
340,Aazo_0483-NC_014248,67,17.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
341,Aazo_0484-NC_014248,78,28.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
342,Aazo_0485-NC_014248,44,1.00055,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
343,Aazo_0487-NC_014248,137,87.0,0.0,0.0,'Nostoc azollae' 0708,biopolymer transport protein ExbD/TolR; K03559 biopolymer transport protein ExbD,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
344,Aazo_0491-NC_014248,349,299.0,0.0,0.0,'Nostoc azollae' 0708,phospho-2-dehydro-3-deoxyheptonate aldolase (EC:2.5.1.54); K01626 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
345,Aazo_0492-NC_014248,124,74.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
346,Aazo_0496-NC_014248,147,97.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
347,Aazo_0497-NC_014248,92,42.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
348,Aazo_0498-NC_014248,34,1.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
349,Aazo_0499-NC_014248,261,211.0,0.0,0.0,'Nostoc azollae' 0708,carboxymethylenebutenolidase,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
350,Aazo_0500-NC_014248,701,651.0,0.0,0.0,'Nostoc azollae' 0708,Oligopeptidase A (EC:3.4.24.70); K01414 oligopeptidase A [EC:3.4.24.70],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
351,Aazo_0501-NC_014248,283,233.0,0.0,0.0,'Nostoc azollae' 0708,UspA domain-containing protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
