strain_name	peptide_count	taxonomy
Mycobacterium thermoresistibile ATCC 19527	4614	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium thermoresistibile ATCC 19527
Mycobacterium tuberculosis 02_1987	4266	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis 02_1987
Mycobacterium tuberculosis 210	4137	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis 210
Mycobacterium tuberculosis 7199-99	3994	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis 7199-99
Mycobacterium tuberculosis 94_M4241A	4232	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis 94_M4241A
Mycobacterium tuberculosis 98-R604 INH-RIF-EM	4112	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis 98-R604 INH-RIF-EM
Mycobacterium tuberculosis C	3490	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis C
Mycobacterium tuberculosis CAS/NITR204	3960	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis CAS/NITR204
Mycobacterium tuberculosis CCDC5079	3646	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis CCDC5079
Mycobacterium tuberculosis CCDC5180	3590	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis CCDC5180
Mycobacterium tuberculosis CDC1551	4189	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis CDC1551
Mycobacterium tuberculosis CPHL_A	4140	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis CPHL_A
Mycobacterium tuberculosis CTRI-2	3944	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis CTRI-2
Mycobacterium tuberculosis EAI5	3902	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis EAI5
Mycobacterium tuberculosis EAI5/NITR206	4019	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis EAI5/NITR206
Mycobacterium tuberculosis EAS054	4101	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis EAS054
Mycobacterium tuberculosis F11	3941	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis F11
Mycobacterium tuberculosis GM 1503	4116	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis GM 1503
Mycobacterium tuberculosis H37Ra	4034	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis H37Ra
Mycobacterium tuberculosis H37Rv	4018	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis H37Rv
Mycobacterium tuberculosis K85	4196	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis K85
Mycobacterium tuberculosis KZN 1435	4059	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis KZN 1435
Mycobacterium tuberculosis KZN 4207	8064	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis KZN 4207
Mycobacterium tuberculosis KZN 605	3972	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis KZN 605
Mycobacterium tuberculosis KZN R506	4170	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis KZN R506
Mycobacterium tuberculosis KZN V2475	4163	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis KZN V2475
Mycobacterium tuberculosis RGTB327	3691	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis RGTB327
Mycobacterium tuberculosis RGTB423	3622	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis RGTB423
Mycobacterium tuberculosis SUMu001	3894	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis SUMu001
Mycobacterium tuberculosis SUMu002	4201	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis SUMu002
Mycobacterium tuberculosis SUMu003	4241	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis SUMu003
Mycobacterium tuberculosis SUMu004	4234	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis SUMu004
Mycobacterium tuberculosis SUMu005	4209	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis SUMu005
Mycobacterium tuberculosis SUMu006	4192	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis SUMu006
Mycobacterium tuberculosis SUMu007	4183	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis SUMu007
Mycobacterium tuberculosis SUMu008	4212	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis SUMu008
Mycobacterium tuberculosis SUMu009	4199	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis SUMu009
Mycobacterium tuberculosis SUMu010	4231	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis SUMu010
Mycobacterium tuberculosis SUMu011	4218	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis SUMu011
Mycobacterium tuberculosis SUMu012	4273	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis SUMu012
Mycobacterium tuberculosis T17	4254	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis T17
Mycobacterium tuberculosis T46	4134	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis T46
Mycobacterium tuberculosis T85	4206	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis T85
Mycobacterium tuberculosis T92	4254	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis T92
Mycobacterium tuberculosis UT205	3796	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis UT205
Mycobacterium tuberculosis str. Beijing/NITR203	4110	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis str. Beijing/NITR203
Mycobacterium tuberculosis str. Erdman = ATCC 35801	4246	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis str. Erdman = ATCC 35801
Mycobacterium tuberculosis str. Haarlem	4327	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis str. Haarlem
Mycobacterium tuberculosis str. Haarlem/NITR202	3681	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis str. Haarlem/NITR202
Mycobacterium ulcerans Agy99	4241	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium ulcerans Agy99
Mycobacterium vanbaalenii PYR-1	5979	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium vanbaalenii PYR-1
Mycobacterium yongonense 05-1390	5390	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium yongonense 05-1390
Gordonia KTR9	5154	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia KTR9
Gordonia alkanivorans NBRC 16433	4655	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia alkanivorans NBRC 16433
Gordonia amarae NBRC 15530	4691	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia amarae NBRC 15530
Gordonia araii NBRC 100433	3796	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia araii NBRC 100433
Gordonia bronchialis DSM 43247	4944	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia bronchialis DSM 43247
Gordonia effusa NBRC 100432	4420	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia effusa NBRC 100432
Gordonia neofelifaecis NRRL B-59395	3985	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia neofelifaecis NRRL B-59395
Gordonia polyisoprenivorans NBRC 16320	5635	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia polyisoprenivorans NBRC 16320
Gordonia polyisoprenivorans VH2	5110	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia polyisoprenivorans VH2
Gordonia westfalica	105	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia westfalica
Nocardia 107	7	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia 107
Nocardia C-14-1	5	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia C-14-1
Nocardia aobensis	3	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia aobensis
Nocardia brasiliensis ATCC 700358	8414	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia brasiliensis ATCC 700358
Nocardia cyriacigeorgica GUH-2	5476	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia cyriacigeorgica GUH-2
Nocardia farcinica IFM 10152	5934	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia farcinica IFM 10152
Rhodococcus B264-1	4	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus B264-1
Rhodococcus NS1	103	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus NS1
Rhodococcus aetherivorans I24	13	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus aetherivorans I24
Rhodococcus equi	196	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus equi
Rhodococcus equi 103S	4512	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus equi 103S
Rhodococcus equi ATCC 33707	5056	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus equi ATCC 33707
Rhodococcus erythropolis	226	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus erythropolis
Rhodococcus erythropolis PR4	6433	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus erythropolis PR4
Rhodococcus erythropolis SK121	6713	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus erythropolis SK121
Rhodococcus jostii RHA1	9145	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus jostii RHA1
Rhodococcus opacus B4	8197	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus opacus B4
Rhodococcus pyridinivorans AK37	4820	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus pyridinivorans AK37
Rhodococcus rhodochrous	8	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus rhodochrous
Segniliparus rotundus DSM 44985	3074	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Segniliparaceae;Segniliparus;Segniliparus rotundus DSM 44985
Segniliparus rugosus ATCC BAA-974	3516	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Segniliparaceae;Segniliparus;Segniliparus rugosus ATCC BAA-974
Tsukamurella paurometabola DSM 20162	4335	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Tsukamurellaceae;Tsukamurella;Tsukamurella paurometabola DSM 20162
Acidothermus cellulolyticus 11B	2157	Bacteria;Actinobacteria;Actinobacteria_X;Frankiales;Acidothermaceae;Acidothermus;Acidothermus cellulolyticus 11B
Cryptosporangium arvum DSM 44712	8571	Bacteria;Actinobacteria;Actinobacteria_X;Frankiales;Cryptosporangiaceae;Cryptosporangium;Cryptosporangium arvum DSM 44712
Frankia CN3	8336	Bacteria;Actinobacteria;Actinobacteria_X;Frankiales;Frankiaceae;Frankia;Frankia CN3
Frankia CcI3	4499	Bacteria;Actinobacteria;Actinobacteria_X;Frankiales;Frankiaceae;Frankia;Frankia CcI3
Frankia CpI1	20	Bacteria;Actinobacteria;Actinobacteria_X;Frankiales;Frankiaceae;Frankia;Frankia CpI1
Frankia EAN1pec	7191	Bacteria;Actinobacteria;Actinobacteria_X;Frankiales;Frankiaceae;Frankia;Frankia EAN1pec
Frankia EUN1f	8182	Bacteria;Actinobacteria;Actinobacteria_X;Frankiales;Frankiaceae;Frankia;Frankia EUN1f
Frankia EuI1c	7083	Bacteria;Actinobacteria;Actinobacteria_X;Frankiales;Frankiaceae;Frankia;Frankia EuI1c
Frankia alni ACN14a	6707	Bacteria;Actinobacteria;Actinobacteria_X;Frankiales;Frankiaceae;Frankia;Frankia alni ACN14a
Frankia symbiont of Datisca glomerata	4215	Bacteria;Actinobacteria;Actinobacteria_X;Frankiales;Frankiaceae;Frankia;Frankia symbiont of Datisca glomerata
Blastococcus saxobsidens DD2	4820	Bacteria;Actinobacteria;Actinobacteria_X;Frankiales;Geodermatophilaceae;Blastococcus;Blastococcus saxobsidens DD2
Geodermatophilus obscurus DSM 43160	5096	Bacteria;Actinobacteria;Actinobacteria_X;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus obscurus DSM 43160
Modestobacter marinus	5444	Bacteria;Actinobacteria;Actinobacteria_X;Frankiales;Geodermatophilaceae;Modestobacter;Modestobacter marinus
Nakamurella multipartita DSM 44233	5415	Bacteria;Actinobacteria;Actinobacteria_X;Frankiales;Nakamurellaceae;Nakamurella;Nakamurella multipartita DSM 44233
Sporichthya polymorpha DSM 43042	5223	Bacteria;Actinobacteria;Actinobacteria_X;Frankiales;Sporichthyaceae;Sporichthya;Sporichthya polymorpha DSM 43042
Kineococcus radiotolerans SRS30216	4681	Bacteria;Actinobacteria;Actinobacteria_X;Kineosporiales;Kineosporiaceae;Kineococcus;Kineococcus radiotolerans SRS30216
Beutenbergia cavernae DSM 12333	4225	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Beutenbergiaceae;Beutenbergia;Beutenbergia cavernae DSM 12333
Brevibacterium linens	3	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium linens
Brevibacterium linens BL2	3777	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium linens BL2
Brevibacterium mcbrellneri ATCC 49030	2432	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium mcbrellneri ATCC 49030
Cellulomonas fimi ATCC 484	3761	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas fimi ATCC 484
Cellulomonas flavigena DSM 20109	3730	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas flavigena DSM 20109
Tropheryma whipplei TW08/27	783	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Cellulomonadaceae;Tropheryma;Tropheryma whipplei TW08/27
Tropheryma whipplei str. Twist	808	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Cellulomonadaceae;Tropheryma;Tropheryma whipplei str. Twist
Brachybacterium faecium DSM 4810	3129	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Dermabacteraceae;Brachybacterium;Brachybacterium faecium DSM 4810
Dermacoccus Ellin185	2919	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Dermacoccaceae;Dermacoccus;Dermacoccus Ellin185
Kytococcus sedentarius DSM 20547	2639	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Dermacoccaceae;Kytococcus;Kytococcus sedentarius DSM 20547
Austwickia chelonae NBRC 105200	3048	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Dermatophilaceae;Austwickia;Austwickia chelonae NBRC 105200
Kineosphaera limosa NBRC 100340	4422	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Dermatophilaceae;Kineosphaera;Kineosphaera limosa NBRC 100340
Mobilicoccus pelagius NBRC 104925	3112	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Dermatophilaceae;Mobilicoccus;Mobilicoccus pelagius NBRC 104925
Intrasporangium calvum DSM 43043	3653	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Intrasporangiaceae;Intrasporangium;Intrasporangium calvum DSM 43043
Janibacter HTCC2649	4100	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Intrasporangiaceae;Janibacter;Janibacter HTCC2649
Jonesia denitrificans DSM 20603	2558	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Jonesiaceae;Jonesia;Jonesia denitrificans DSM 20603
Clavibacter michiganensis subsp. michiganensis NCPPB 382	3078	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Microbacteriaceae;Clavibacter;Clavibacter michiganensis subsp. michiganensis NCPPB 382
Clavibacter michiganensis subsp. nebraskensis NCPPB 2581	2817	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Microbacteriaceae;Clavibacter;Clavibacter michiganensis subsp. nebraskensis NCPPB 2581
Clavibacter michiganensis subsp. sepedonicus	3116	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Microbacteriaceae;Clavibacter;Clavibacter michiganensis subsp. sepedonicus
Leifsonia xyli subsp. xyli str. CTCB07	2030	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Microbacteriaceae;Leifsonia;Leifsonia xyli subsp. xyli str. CTCB07
Microbacterium testaceum StLB037	3676	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium testaceum StLB037
marine actinobacterium PHSC20C1	2668	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Microbacteriaceae;Rhodoglobus;marine actinobacterium PHSC20C1
Arthrobacter AK-1	97	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter AK-1
Arthrobacter Chr15	63	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter Chr15
Arthrobacter FB24	4523	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter FB24
Arthrobacter arilaitensis Re117	3436	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter arilaitensis Re117
Arthrobacter aurescens TC1	4588	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter aurescens TC1
Arthrobacter chlorophenolicus A6	4590	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter chlorophenolicus A6
Arthrobacter nitroguajacolicus	204	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter nitroguajacolicus
Arthrobacter phenanthrenivorans Sphe3	4131	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter phenanthrenivorans Sphe3
Kocuria rhizophila DC2201	2357	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Micrococcaceae;Kocuria;Kocuria rhizophila DC2201
Micrococcus 28	51	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Micrococcaceae;Micrococcus;Micrococcus 28
Micrococcus luteus	1	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Micrococcaceae;Micrococcus;Micrococcus luteus
Micrococcus luteus NCTC 2665	2236	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Micrococcaceae;Micrococcus;Micrococcus luteus NCTC 2665
Micrococcus luteus SK58	2489	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Micrococcaceae;Micrococcus;Micrococcus luteus SK58
Rothia dentocariosa ATCC 17931	2217	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Micrococcaceae;Rothia;Rothia dentocariosa ATCC 17931
Rothia dentocariosa M567	2116	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Micrococcaceae;Rothia;Rothia dentocariosa M567
Rothia mucilaginosa ATCC 25296	1736	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Micrococcaceae;Rothia;Rothia mucilaginosa ATCC 25296
Rothia mucilaginosa DY-18	1904	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Micrococcaceae;Rothia;Rothia mucilaginosa DY-18
Isoptericola variabilis 225	2881	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Promicromonosporaceae;Isoptericola;Isoptericola variabilis 225
Xylanimonas cellulosilytica DSM 15894	3485	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Promicromonosporaceae;Xylanimonas;Xylanimonas cellulosilytica DSM 15894
Sanguibacter keddieii DSM 10542	3735	Bacteria;Actinobacteria;Actinobacteria_X;Micrococcales;Sanguibacteraceae;Sanguibacter;Sanguibacter keddieii DSM 10542
Actinoplanes N902-109	8212	Bacteria;Actinobacteria;Actinobacteria_X;Micromonosporales;Micromonosporaceae;Actinoplanes;Actinoplanes N902-109
Actinoplanes SE50/110	8247	Bacteria;Actinobacteria;Actinobacteria_X;Micromonosporales;Micromonosporaceae;Actinoplanes;Actinoplanes SE50/110
Actinoplanes missouriensis 431	8124	Bacteria;Actinobacteria;Actinobacteria_X;Micromonosporales;Micromonosporaceae;Actinoplanes;Actinoplanes missouriensis 431
Micromonospora ATCC 39149	5633	Bacteria;Actinobacteria;Actinobacteria_X;Micromonosporales;Micromonosporaceae;Micromonospora;Micromonospora ATCC 39149
Micromonospora L5	6150	Bacteria;Actinobacteria;Actinobacteria_X;Micromonosporales;Micromonosporaceae;Micromonospora;Micromonospora L5
Micromonospora aurantiaca ATCC 27029	6222	Bacteria;Actinobacteria;Actinobacteria_X;Micromonosporales;Micromonosporaceae;Micromonospora;Micromonospora aurantiaca ATCC 27029
Micromonospora rosaria	13	Bacteria;Actinobacteria;Actinobacteria_X;Micromonosporales;Micromonosporaceae;Micromonospora;Micromonospora rosaria
Salinispora CNS143	8431	Bacteria;Actinobacteria;Actinobacteria_X;Micromonosporales;Micromonosporaceae;Salinispora;Salinispora CNS143
Salinispora arenicola ATCC BAA-917	8645	Bacteria;Actinobacteria;Actinobacteria_X;Micromonosporales;Micromonosporaceae;Salinispora;Salinispora arenicola ATCC BAA-917
Salinispora arenicola CNS-205	4917	Bacteria;Actinobacteria;Actinobacteria_X;Micromonosporales;Micromonosporaceae;Salinispora;Salinispora arenicola CNS-205
Salinispora arenicola CNT088	8764	Bacteria;Actinobacteria;Actinobacteria_X;Micromonosporales;Micromonosporaceae;Salinispora;Salinispora arenicola CNT088
Salinispora pacifica	8030	Bacteria;Actinobacteria;Actinobacteria_X;Micromonosporales;Micromonosporaceae;Salinispora;Salinispora pacifica
Salinispora tropica CNB-440	4536	Bacteria;Actinobacteria;Actinobacteria_X;Micromonosporales;Micromonosporaceae;Salinispora;Salinispora tropica CNB-440
Stackebrandtia nassauensis DSM 44728	6487	Bacteria;Actinobacteria;Actinobacteria_X;Micromonosporales;Micromonosporaceae;Stackebrandtia;Stackebrandtia nassauensis DSM 44728
Verrucosispora maris AB-18-032	6009	Bacteria;Actinobacteria;Actinobacteria_X;Micromonosporales;Micromonosporaceae;Verrucosispora;Verrucosispora maris AB-18-032
Aeromicrobium marinum DSM 15272	3585	Bacteria;Actinobacteria;Actinobacteria_X;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium marinum DSM 15272
Kribbella flavida DSM 17836	7086	Bacteria;Actinobacteria;Actinobacteria_X;Propionibacteriales;Nocardioidaceae;Kribbella;Kribbella flavida DSM 17836
Nocardioides JS614	4909	Bacteria;Actinobacteria;Actinobacteria_X;Propionibacteriales;Nocardioidaceae;Nocardioides;Nocardioides JS614
Nocardioidaceae bacterium Broad-1	5631	Bacteria;Actinobacteria;Actinobacteria_X;Propionibacteriales;Nocardioidaceae;unclassified Nocardioidaceae;Nocardioidaceae bacterium Broad-1
